,Date,Open,Time
0,11/13/2017,56.81,1510531200.0
1,11/14/2017,56.47,1510617600.0
2,11/15/2017,56.82,1510704000.0
3,11/16/2017,56.92,1510790400.0
4,11/17/2017,57.24,1510876800.0
5,11/20/2017,56.67,1511136000.0
6,11/21/2017,56.96,1511222400.0
7,11/22/2017,57.07,1511308800.0
8,11/24/2017,57.19,1511481600.0
9,11/27/2017,56.83,1511740800.0
10,11/28/2017,56.03,1511827200.0
11,11/29/2017,56.71,1511913600.0
12,11/30/2017,57.64,1512000000.0
13,12/01/2017,57.5,1512086400.0
14,12/04/2017,57.54,1512345600.0
15,12/05/2017,59.25,1512432000.0
16,12/06/2017,59.38,1512518400.0
17,12/07/2017,59.12,1512604800.0
18,12/08/2017,58.52,1512691200.0
19,12/11/2017,58.39,1512950400.0
20,12/12/2017,58.99,1513036800.0
21,12/13/2017,59.44,1513123200.0
22,12/14/2017,59.73,1513209600.0
23,12/15/2017,59.25,1513296000.0
24,12/18/2017,58.44,1513555200.0
25,12/19/2017,58.13,1513641600.0
26,12/20/2017,58.22,1513728000.0
27,12/21/2017,57.94,1513814400.0
28,12/22/2017,57.57,1513900800.0
29,12/26/2017,57.27,1514246400.0
30,12/27/2017,57.19,1514332800.0
31,12/28/2017,57.47,1514419200.0
32,12/29/2017,57.74,1514505600.0
33,01/02/2018,57.95,1514851200.0
34,01/03/2018,57.93,1514937600.0
35,01/04/2018,58.99,1515024000.0
36,01/05/2018,59.25,1515110400.0
37,01/08/2018,59.48,1515369600.0
38,01/09/2018,59.2,1515456000.0
39,01/10/2018,59.24,1515542400.0
40,01/11/2018,59.76,1515628800.0
41,01/12/2018,60.4,1515715200.0
42,01/16/2018,60.33,1516060800.0
43,01/17/2018,61.0,1516147200.0
44,01/18/2018,61.43,1516233600.0
45,01/19/2018,61.21,1516320000.0
46,01/22/2018,61.04,1516579200.0
47,01/23/2018,61.32,1516665600.0
48,01/24/2018,61.51,1516752000.0
49,01/25/2018,61.03,1516838400.0
50,01/26/2018,57.94,1516924800.0
51,01/29/2018,57.55,1517184000.0
52,01/30/2018,56.96,1517270400.0
53,01/31/2018,57.23,1517356800.0
54,02/01/2018,56.28,1517443200.0
